domain,proteins
PF03217,D6S587_LACJE:A0A0R1IEJ8_9LACO:A0A2Z6TGW4_9LACO:F0NUN3_LACHH:A0A5P8QJ70_9LACO:A0A210PA26_9LACO:A0A0R2MWW8_9LACO
PF19079,A0A1W1ZG15_9LACT:J0UY87_STREE:A5M976_STREE:A0A3P1VHU9_9STRE:A0A7X3C126_STREE:A0A4V3BDS4_9STAP:A0A4J1XX44_STREE
PF04200,A0A449B9G0_9MOLU:A0A4R6IFU2_9MOLU:Q98QQ3_MYCPU:Q98PL9_MYCPU:A0A449BAF2_9MOLU:A0A449BBF2_9MOLU:A0A449BAQ2_9MOLU
PF07501,A0A2I1JW60_9LACT
PF01476,F4BMM5_CARS1
PF08239,A0A0H2YV13 
