pfamA_acc;pfamA_id;clan_id;clan_acc;comment;selected
PF13988;DUF4225;Zn_chelatase;CL0687;This family of proteins is functionally uncharacterised. This family of proteins is found in bacteria and eukaryotes. Proteins in this family are typically between 182 and 282 amino acids in length.;True
PF19609;DUF6114;Zn_chelatase;CL0687;This entry represents a member of a biosynthetic gene cluster (BGC). This BGC (BGC0000696) is described by MIBiG as an example of the following biosynthetic class, saccharide. It includes a member from the gentamicin biosynthetic gene cluster from Micromonospora echinospora and appears to be predominantly found in actinobacteria and firmicutes [1,2].;True
PF05616;Neisseria_TspB;Zn_chelatase;CL0687;This family consists of several Neisseria meningitidis TspB virulence factor proteins.;True
PF06820;Phage_fiber_C;Zn_chelatase;CL0687;This family represents the C-terminus of a prophage tail fibre protein found mostly in E. coli. All family members contain a conserved RLGP motif.;True
PF04022;Staphylcoagulse;Zn_chelatase;CL0687;NULL;True
PF12299;DUF3627;Zn_chelatase;CL0687;This domain family is found in bacteria and viruses, and is approximately 90 amino acids in length. The family is found in association with Pfam:PF02498.;True
PF05562;WCOR413;Zn_chelatase;CL0687;This family consists of several WCOR413-like plant cold acclimation proteins.;True
PF15275;PEHE;Zn_chelatase;CL0687;This domain was first identified in drosophila MSL1 (male-specific lethal 1) [1]. In drosophila it binds to the histone acetyltransferase males-absent on the first protein (MOF) and to protein male-specific lethal-3 (MSL3) [2-3].;True
PF15479;DUF4639;Zn_chelatase;CL0687;This family of proteins is found in eukaryotes. Proteins in this family are typically between 161 and 601 amino acids in length.;True
PF12263;DUF3611;Zn_chelatase;CL0687;This family of proteins is found in bacteria and eukaryotes. Proteins in this family are typically between 180 and 205 amino acids in length. There are two completely conserved residues (W and G) that may be functionally important.;True
PF14653;IGFL;Zn_chelatase;CL0687;This family includes the insulin growth factor-like proteins. These proteins are potential ligands for the IGFLR1 cell membrane receptor [1].;True
PF15670;Spem1;Zn_chelatase;CL0687;Spem1 is a family of mammalian proteins. Proteins are exclusively expressed in the cytoplasm of the last three steps of spermiogenesis in the mouse testis, and male mice deficient in Spem1 are completely infertile because of deformed sperm [1].;True
PF19545;DUF6069;Zn_chelatase;CL0687;This entry represents a member of a biosynthetic gene cluster (BGC). This BGC (BGC0001769) is described by MIBiG as an example of the following biosynthetic class, polyketide. This family includes a protein from the family saquayamycin A biosynthetic gene cluster from Streptomyces sp. and appears to be predominantly found in Actinobacteria [1]. ;True
PF02462;Opacity;Zn_chelatase;CL0687;Pathogenic Neisseria spp. possess a repertoire of phase-variable Opacity proteins that mediate various pathogen--host cell interactions [2]. These proteins are integral membrane proteins related to other porins.;True
PF11361;DUF3159;Zn_chelatase;CL0687;Some members in this family of proteins with unknown function are annotated as membrane proteins however this cannot be confirmed. Currently this family of proteins has no known function.;True
PF16066;DUF4808;Zn_chelatase;CL0687;This presumed domain is functionally uncharacterised. This domain family is found in eukaryotes, and is typically between 106 and 135 amino acids in length.;True
PF20315;DUF6611;Zn_chelatase;CL0687;This family of proteins is functionally uncharacterised. This family of proteins is found in bacteria. Proteins in this family are typically between 165 and 185 amino acids in length.;True
PF15818;CCDC73;Zn_chelatase;CL0687;CCDC73 is a family of eukaryotic coiled-coil containing proteins. The function is not known. The alternative name is sarcoma antigen NY-SAR-79.;True
